Measure Mode: allocations
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 3216.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06     11.000     2.000     0.000     9.000        1   ActiveSupport::Testing::TaggedLogging#before_setup
  0.06   2661.000     2.000     0.000  2659.000        1   ActionDispatch::Callbacks#call
  0.06      2.000     2.000     0.000     0.000        2   String#inspect
  0.06    112.000     2.000     0.000   110.000        2   ActionDispatch::Session::CookieStore#unpacked_cookie_data
  0.06   2666.000     2.000     0.000  2664.000        1   ActionDispatch::DebugExceptions#call
  0.06      2.000     2.000     0.000     0.000        1   ActionController::Metal#initialize
  0.06      2.000     2.000     0.000     0.000        2   SQLite3::Statement#step
  0.06      2.000     2.000     0.000     0.000        2   Fixnum#divmod
  0.06      2.000     2.000     0.000     0.000        2   Sprockets::URIUtils#valid_asset_uri?
  0.06      4.000     2.000     0.000     2.000        2   Kernel#loop
  0.06      2.000     2.000     0.000     0.000        3   ActionDispatch::Response#munge_body_object
  0.06    769.000     2.000     0.000   767.000        2   Sprockets::Resolve#resolve
  0.06      2.000     2.000     0.000     0.000        2   Thread::ConditionVariable#initialize
  0.06      2.000     2.000     0.000     0.000        1   Array#-
  0.06      2.000     2.000     0.000     0.000        2   Rack::Request#path
  0.06      2.000     2.000     0.000     0.000        1   ActionController::RequestForgeryProtection#non_xhr_javascript_response?
  0.06      4.000     2.000     0.000     2.000        2   ActionView::AbstractRenderer#extract_details
  0.06     24.000     2.000     0.000    22.000        1   Rails::Rack::Logger#started_request_message
  0.06     31.000     2.000     0.000    29.000        2   ActionDispatch::Http::Cache::Response#prepare_cache_control!
  0.06     29.000     2.000     0.000    27.000        2   ActionDispatch::Http::Cache::Response#cache_control_headers
  0.06     25.000     2.000     0.000    23.000        1   ActionController::LogSubscriber#process_action
  0.06   2478.000     2.000     0.000  2476.000        1   ActionController::Metal#dispatch
  0.06   2472.000     2.000     0.000  2470.000        1   ActionView::Rendering#process
  0.06      4.000     2.000     0.000     2.000        1   ActionController::Instrumentation::ClassMethods#log_process_action
  0.06      2.000     2.000     0.000     0.000        2   Kernel#instance_variables
  0.06    777.000     2.000     0.000   775.000        2   Sprockets::Base#find_asset
  0.06     15.000     2.000     0.000    13.000        2   AbstractController::Rendering#view_assigns
  0.06    779.000     2.000     0.000   777.000        2   Sprockets::Rails::HelperAssetResolvers::Environment#find_asset
  0.06      2.000     2.000     0.000     0.000       11   Hash#each_key
  0.06    781.000     2.000     0.000   779.000        2   Sprockets::Rails::HelperAssetResolvers::Environment#digest_path
  0.06     32.000     2.000     0.000    30.000        1   ActionView::Helpers::TagHelper#tag
  0.06    454.000     2.000     0.000   452.000        1   Sprockets::Rails::Helper#javascript_include_tag
  0.06      2.000     2.000     0.000     0.000       42   Hash#[]=
  0.06     58.000     2.000     0.000    56.000        7   Kernel#tap
  0.06      8.000     2.000     0.000     6.000        2   ActionView::Layouts#_include_layout?
  0.06      6.000     2.000     0.000     4.000        2   SQLite3::Database#prepare
  0.06     22.000     2.000     0.000    20.000        2   ActionView::LookupContext::ViewPaths#find_all
  0.06      2.000     2.000     0.000     0.000        2   Sprockets::Manifest#assets
  0.06      2.000     2.000     0.000     0.000        2   Rack::Test::Cookie#domain
  0.06     24.000     2.000     0.000    22.000        2   Rack::Request#ssl?
  0.06      4.000     2.000     0.000     2.000        2   ActionDispatch::Response::RackBody#respond_to?
  0.06    294.000     2.000     0.000   292.000        2   ActionView::AbstractRenderer#instrument
  0.06     11.000     2.000     0.000     9.000        1   <Module::SecureRandom>#uuid
  0.06    798.000     2.000     0.000   796.000        2   Sprockets::Rails::Helper#compute_asset_path
  0.06      2.000     2.000     0.000     0.000        2   ActionDispatch::Request#remote_addr
  0.06      8.000     2.000     0.000     6.000        2   ActionView::Rendering#_normalize_options
  0.06      2.000     2.000     0.000     0.000        2   <Class::OpenSSL::HMAC>#hexdigest
  0.06      3.000     2.000     0.000     1.000        1   Digest::Instance#hexdigest
  0.06     43.000     2.000     0.000    41.000        1   ActionDispatch::Request#POST
  0.06     17.000     2.000     0.000    15.000        2   ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.06     20.000     2.000     0.000    18.000        2   AbstractController::Rendering#_normalize_render
  0.06     14.000     2.000     0.000    12.000        2   Rack::Utils::HeaderHash#initialize
  0.06      2.000     2.000     0.000     0.000        2   Kernel#clone
  0.06     33.000     2.000     0.000    31.000        2   ActionDispatch::Request#parse_query
  0.06     31.000     2.000     0.000    29.000        2   Rack::Request#parse_query
